Start Time,Mean Abs Value,Duration,Calculated Speed
0.5109833333333333,0.10358668053359316,0.5687466666666667,13.72088843304576
1.07973,0.09961320211489995,0.5909633333333335,13.205065559622984
1.6706933333333336,0.09504556846367888,0.6154016666666668,12.680676674583804
2.2860950000000004,0.09354068275210978,0.6309533333333328,12.368124784717315
2.9170483333333332,0.08775616940554408,0.6709433333333337,11.630951784303685
3.587991666666667,0.0826972301746784,0.7109333333333328,10.976710746436618
4.298925,0.07923281255869134,0.7420366666666673,10.51660909838237
5.040961666666667,0.07466444597965237,0.7909133333333331,9.866706288931786
5.831875,0.06992597908730495,0.8442333333333325,9.243545891736101
6.676108333333333,0.06423218828097825,0.921991666666667,8.46396973219208
