Temps,EA0,Temps,EA1
0,0.225008783861995,0,0.00149188749492168
0.000125,0.230020135641098,0.000125,0.00646255165338516
0.00025,0.209974728524685,0.00025,0.00149188749492168
0.000375,0.214986080303788,0.000375,0.00646255165338516
0.0005,0.209974728524685,0.0005,0.00646255165338516
0.000625,0.204963376745582,0.000625,0.00149188749492168
0.00075,0.194940673187375,0.00075,0.00149188749492168
0.000875,0.194940673187375,0.000875,0.00149188749492168
0.001,0.184917969629169,0.001,0.00149188749492168
0.001125,0.184917969629169,0.001125,0.00149188749492168
0.00125,0.184917969629169,0.00125,0.00646255165338516
0.001375,0.164872562512755,0.001375,0.00149188749492168
0.0015,0.164872562512755,0.0015,0.00149188749492168
0.001625,0.164872562512755,0.001625,0.00149188749492168
0.00175,0.159861210733652,0.00175,0.00149188749492168
0.001875,0.149838507175446,0.001875,0.00149188749492168
0.002,0.144827155396342,0.002,0.00149188749492168
0.002125,0.144827155396342,0.002125,0.00149188749492168
0.00225,0.139815803617239,0.00225,0.00149188749492168
0.002375,0.129793100059032,0.002375,0.00149188749492168
0.0025,0.129793100059032,0.0025,0.00149188749492168
0.002625,0.124781748279929,0.002625,0.00149188749492168
0.00275,0.114759044721723,0.00275,0.00149188749492168
0.002875,0.109747692942619,0.002875,0.00149188749492168
0.003,0.109747692942619,0.003,0.00149188749492168
0.003125,0.0997249893844128,0.003125,0.00149188749492168
0.00325,0.0997249893844128,0.00325,0.00149188749492168
0.003375,0.0997249893844128,0.003375,0.00149188749492168
0.0035,0.0846909340471029,0.0035,0.00149188749492168
0.003625,0.0846909340471029,0.003625,0.00149188749492168
0.00375,0.0746682304888964,0.00375,0.00149188749492168
0.003875,0.0846909340471029,0.003875,0.00149188749492168
0.004,0.0696568787097931,0.004,0.00149188749492168
0.004125,0.0596341751515865,0.004125,0.00149188749492168
0.00425,0.0546228233724833,0.00425,-0.00347877666354179
0.004375,0.0546228233724833,0.004375,0.00149188749492168
0.0045,0.0446001198142767,0.0045,0.00149188749492168
0.004625,0.0446001198142767,0.004625,0.00149188749492168
0.00475,0.0446001198142767,0.00475,0.00646255165338516
0.004875,0.0295660644769669,0.004875,0.00149188749492168
0.005,0.0245547126978636,0.005,0.00149188749492168
0.005125,0.0195433609187603,0.005125,-0.00347877666354179
0.00525,0.014532009139657,0.00525,0.00149188749492168
0.005375,0.00952065736055374,0.005375,0.00149188749492168
0.0055,0.00952065736055374,0.0055,0.00149188749492168
0.005625,-0.000502046197652817,0.005625,0.00149188749492168
0.00575,-0.000502046197652817,0.00575,-0.00347877666354179
0.005875,-0.000502046197652817,0.005875,0.00149188749492168
0.006,-0.0105247497558594,0.006,0.00149188749492168
0.006125,-0.0105247497558594,0.006125,0.00149188749492168
0.00625,-0.0205474533140659,0.00625,0.00149188749492168
0.006375,-0.0255588050931692,0.006375,0.00149188749492168
0.0065,-0.0355815086513758,0.0065,0.00149188749492168
0.006625,-0.0355815086513758,0.006625,0.00149188749492168
0.00675,-0.040592860430479,0.00675,0.00149188749492168
0.006875,-0.0456042122095823,0.006875,0.00149188749492168
0.007,-0.0556269157677889,0.007,0.00149188749492168
0.007125,-0.0556269157677889,0.007125,0.00149188749492168
0.00725,-0.0606382675468922,0.00725,0.00149188749492168
0.007375,-0.0656496193259954,0.007375,0.00149188749492168
0.0075,-0.0656496193259954,0.0075,0.00149188749492168
0.007625,-0.075672322884202,0.007625,0.00149188749492168
0.00775,-0.0856950264424086,0.00775,0.00149188749492168
0.007875,-0.0856950264424086,0.007875,0.00149188749492168
0.008,-0.0907063782215118,0.008,0.00149188749492168
0.008125,-0.0957177300006151,0.008125,0.00149188749492168
0.00825,-0.0957177300006151,0.00825,0.00149188749492168
0.008375,-0.105740433558822,0.008375,0.00149188749492168
0.0085,-0.110751785337925,0.0085,0.00149188749492168
0.008625,-0.120774488896132,0.008625,0.00149188749492168
0.00875,-0.120774488896132,0.00875,0.00149188749492168
0.008875,-0.125785840675235,0.008875,0.00149188749492168
0.009,-0.135808544233441,0.009,0.00149188749492168
0.009125,-0.140819896012545,0.009125,0.00149188749492168
0.00925,-0.135808544233441,0.00925,0.00149188749492168
0.009375,-0.140819896012545,0.009375,0.00149188749492168
0.0095,-0.150842599570751,0.0095,-0.00347877666354179
0.009625,-0.155853951349854,0.009625,0.00149188749492168
0.00975,-0.165876654908061,0.00975,0.00149188749492168
0.009875,-0.165876654908061,0.009875,0.00149188749492168
0.01,-0.170888006687164,0.01,0.00149188749492168
0.010125,-0.180910710245371,0.010125,0.00149188749492168
0.01025,-0.175899358466268,0.01025,0.00149188749492168
0.010375,-0.185922062024474,0.010375,0.00646255165338516
0.0105,-0.195944765582681,0.0105,0.00149188749492168
0.010625,-0.200956117361784,0.010625,0.00149188749492168
0.01075,-0.205967469140887,0.01075,0.00149188749492168
0.010875,-0.200956117361784,0.010875,0.00149188749492168
0.011,-0.215990172699094,0.011,0.00149188749492168
0.011125,-0.210978820919991,0.011125,0.00149188749492168
0.01125,-0.221001524478197,0.01125,0.00149188749492168
0.011375,-0.2260128762573,0.011375,0.00149188749492168
0.0115,-0.236035579815507,0.0115,0.00149188749492168
0.011625,-0.231024228036404,0.011625,0.00149188749492168
0.01175,-0.246058283373713,0.01175,0.00149188749492168
0.011875,-0.251069635152817,0.011875,0.00149188749492168
0.012,-0.25608098693192,0.012,0.00149188749492168
0.012125,-0.251069635152817,0.012125,0.00149188749492168
0.01225,-0.27111504226923,0.01225,0.00149188749492168
0.012375,-0.266103690490127,0.012375,0.00149188749492168
