T,V1
0.0,0.353788010776043
0.002,0.337258294224739
0.004,0.304198861122131
0.006,0.265629522502422
0.008,0.232570089399815
0.01,0.199510656297207
0.012,0.1719611287117
0.014,0.138901695609093
0.016,0.116862073540688
0.018,0.100332356989384
0.02,0.0782927349209785
0.022,0.067272923886776
0.024,0.0562531128525734
0.026,0.0452333018183708
0.028,0.0397233963012695
0.03,0.028703585267067
0.032,0.0121738687157631
0.034,0.00115405768156052
0.036,-0.0208855643868446
0.038,-0.0429251864552498
0.04,-0.0814945250749588
0.042,-0.120063863694668
0.044,-0.169653013348579
0.046,-0.235771879553795
0.048,-0.296380840241909
0.05,-0.362499706447124
0.052,-0.417598761618137
0.054,-0.461678005754948
0.056,-0.47269781678915
0.058,-0.467187911272049
0.06,-0.434128478169441
0.062,-0.395559139549732
0.064,-0.356989800930023
0.066,-0.318420462310314
0.068,-0.30189074575901
0.07,-0.290870934724808
0.072,-0.30189074575901
0.074,-0.312910556793213
0.076,-0.323930367827415
0.078,-0.345969989895821
0.08,-0.345969989895821
0.082,-0.345969989895821
0.084,-0.323930367827415
0.086,-0.30189074575901
0.088,-0.268831312656403
0.09,-0.241281785070896
0.092,-0.202712446451187
0.094,-0.169653013348579
0.096,-0.147613391280174
0.098,-0.120063863694668
0.1,-0.0980242416262627
0.102,-0.0870044305920601
0.104,-0.0704747140407562
0.106,-0.0594549030065536
0.108,-0.0484350919723511
0.11,-0.0374152809381485
0.112,-0.0263954699039459
0.114,-0.0153756588697433
0.116,0.00115405768156052
0.118,0.0176837742328644
0.12,0.0397233963012695
0.122,0.0727828294038773
0.124,0.100332356989384
0.126,0.138901695609093
0.128,0.188490845263004
0.13,0.243589900434017
0.132,0.29868895560503
0.134,0.353788010776043
0.136,0.403377160429955
0.138,0.441946499049664
0.14,0.452966310083866
0.142,0.447456404566765
0.144,0.42541678249836
0.146,0.392357349395752
0.148,0.359297916293144
0.15,0.337258294224739
0.152,0.315218672156334
0.154,0.315218672156334
0.156,0.320728577673435
0.158,0.331748388707638
0.16,0.34276819974184
0.162,0.359297916293144
0.164,0.359297916293144
0.166,0.359297916293144
0.168,0.34276819974184
0.17,0.315218672156334
0.172,0.282159239053726
0.174,0.249099805951118
0.176,0.216040372848511
0.178,0.182980939745903
0.18,0.155431412160397
0.182,0.12788188457489
0.184,0.111352168023586
0.186,0.0893125459551811
0.188,0.0727828294038773
0.19,0.0617630183696747
0.192,0.0452333018183708
0.194,0.0397233963012695
0.196,0.0231936797499657
0.198,0.0121738687157631
0.2,-0.00435584783554077
0.202,-0.0208855643868446
0.204,-0.0374152809381485
0.206,-0.0649648085236549
0.208,-0.0980242416262627
0.21,-0.13108367472887
0.212,-0.175162918865681
0.214,-0.230261974036694
0.216,-0.285361029207706
0.218,-0.356989800930023
0.22,-0.412088856101036
0.222,-0.456168100237846
0.224,-0.478207722306252
0.226,-0.478207722306252
0.228,-0.461678005754948
0.23,-0.423108667135239
0.232,-0.38453932851553
0.234,-0.345969989895821
0.236,-0.323930367827415
0.238,-0.307400651276112
0.24,-0.312910556793213
0.242,-0.323930367827415
0.244,-0.351479895412922
0.246,-0.368009611964226
0.248,-0.379029422998428
0.25,-0.379029422998428
0.252,-0.368009611964226
0.254,-0.340460084378719
0.256,-0.30189074575901
0.258,-0.268831312656403
0.26,-0.224752068519592
0.262,-0.186182729899883
0.264,-0.153123296797276
0.266,-0.125573769211769
0.268,-0.103534147143364
0.27,-0.0870044305920601
0.272,-0.0704747140407562
0.274,-0.0539449974894524
0.276,-0.0374152809381485
0.278,-0.0208855643868446
0.28,-0.00986575335264206
0.282,-0.00435584783554077
0.284,0.0066639631986618
0.286,0.028703585267067
0.288,0.0452333018183708
0.29,0.067272923886776
0.292,0.0948224514722824
0.294,0.133391790091991
0.296,0.177471034228802
0.298,0.232570089399815
0.3,0.293179050087929
0.302,0.359297916293144
0.304,0.42541678249836
0.306,0.480515837669373
0.308,0.51357527077198
0.31,0.51357527077198
0.312,0.497045554220676
0.314,0.452966310083866
0.316,0.408887065947056
0.318,0.364807821810246
0.32,0.326238483190536
0.322,0.304198861122131
0.324,0.304198861122131
0.326,0.304198861122131
0.328,0.315218672156334
0.33,0.326238483190536
0.332,0.337258294224739
0.334,0.337258294224739
0.336,0.331748388707638
0.338,0.309708766639233
0.34,0.287669144570827
0.342,0.25460971146822
0.344,0.221550278365612
0.346,0.194000750780106
0.348,0.160941317677498
0.35,0.133391790091991
0.352,0.111352168023586
0.354,0.0893125459551811
0.356,0.0727828294038773
0.358,0.0562531128525734
0.36,0.0452333018183708
0.362,0.028703585267067
0.364,0.0176837742328644
0.366,0.0121738687157631
0.368,-0.00435584783554077
0.37,-0.00986575335264206
0.372,-0.0319053754210472
0.374,-0.0484350919723511
0.376,-0.0759846195578575
0.378,-0.103534147143364
0.38,-0.136593580245972
0.382,-0.180672824382782
0.384,-0.230261974036694
0.386,-0.285361029207706
0.388,-0.340460084378719
0.39,-0.390049234032631
0.392,-0.423108667135239
0.394,-0.445148289203644
0.396,-0.450658194720745
0.398,-0.434128478169441
0.4,-0.401069045066833
0.402,-0.368009611964226
0.404,-0.334950178861618
0.406,-0.307400651276112
0.408,-0.296380840241909
0.41,-0.296380840241909
0.412,-0.30189074575901
0.414,-0.312910556793213
0.416,-0.323930367827415
0.418,-0.323930367827415
0.42,-0.323930367827415
0.422,-0.312910556793213
0.424,-0.290870934724808
0.426,-0.263321407139301
0.428,-0.230261974036694
0.43,-0.202712446451187
0.432,-0.164143107831478
0.434,-0.136593580245972
0.436,-0.114553958177567
0.438,-0.0925143361091614
0.44,-0.0704747140407562
0.442,-0.0539449974894524
0.444,-0.0429251864552498
0.446,-0.0319053754210472
0.448,-0.0208855643868446
0.45,-0.00435584783554077
0.452,0.00115405768156052
0.454,0.0121738687157631
0.456,0.0231936797499657
0.458,0.0397233963012695
0.46,0.0562531128525734
0.462,0.0838026404380798
0.464,0.111352168023586
0.466,0.144411601126194
0.468,0.188490845263004
0.47,0.232570089399815
0.472,0.287669144570827
0.474,0.337258294224739
0.476,0.386847443878651
0.478,0.419906876981258
0.48,0.436436593532562
0.482,0.419906876981258
0.484,0.386847443878651
0.486,0.337258294224739
0.488,0.271139428019524
0.49,0.210530467331409
0.492,0.155431412160397
0.494,0.111352168023586
0.496,0.067272923886776
0.498,0.0397233963012695
0.5,0.0121738687157631
0.502,0.00115405768156052
0.504,-0.00986575335264206
0.506,-0.0153756588697433
0.508,-0.0208855643868446
0.51,-0.0208855643868446
0.512,-0.0208855643868446
0.514,-0.0208855643868446
0.516,-0.0153756588697433
0.518,-0.0153756588697433
0.52,-0.00435584783554077
0.522,0.00115405768156052
0.524,0.0176837742328644
0.526,0.028703585267067
0.528,0.0507432073354721
0.53,0.0782927349209785
0.532,0.111352168023586
0.534,0.149921506643295
0.536,0.188490845263004
0.538,0.232570089399815
0.54,0.271139428019524
0.542,0.304198861122131
0.544,0.331748388707638
0.546,0.34276819974184
0.548,0.348278105258942
0.55,0.337258294224739
0.552,0.309708766639233
0.554,0.282159239053726
0.556,0.243589900434017
0.558,0.210530467331409
0.56,0.182980939745903
0.562,0.149921506643295
0.564,0.12788188457489
0.566,0.105842262506485
0.568,0.0893125459551811
0.57,0.0782927349209785
0.572,0.067272923886776
0.574,0.0562531128525734
0.576,0.0452333018183708
0.578,0.0342134907841682
0.58,0.028703585267067
0.582,0.0121738687157631
0.584,0.00115405768156052
0.586,-0.00986575335264206
0.588,-0.0319053754210472
0.59,-0.0649648085236549
0.592,-0.0980242416262627
0.594,-0.142103485763073
0.596,-0.191692635416985
0.598,-0.252301596105099
0.6,-0.312910556793213
0.602,-0.368009611964226
0.604,-0.417598761618137
0.606,-0.445148289203644
0.608,-0.450658194720745
0.61,-0.439638383686543
0.612,-0.406578950583935
0.614,-0.362499706447124
0.616,-0.329440273344517
0.618,-0.30189074575901
