T,V1
0.0,-0.0524740926921368
0.001,-0.063523568212986
0.002,-0.0690483059734106
0.003,-0.0745730437338352
0.004,-0.0800977814942598
0.005,-0.0856225192546844
0.006,-0.0966719947755337
0.007,-0.102196732535958
0.008,-0.113246208056808
0.009,-0.118770945817232
0.01,-0.129820421338081
0.011,-0.140869896858931
0.012,-0.146394634619355
0.013,-0.15191937237978
0.014,-0.168493585661054
0.015,-0.174018323421478
0.016,-0.179543061181903
0.017,-0.185067798942327
0.018,-0.190592536702752
0.019,-0.190592536702752
0.02,-0.190592536702752
0.021,-0.190592536702752
0.022,-0.185067798942327
0.023,-0.185067798942327
0.024,-0.179543061181903
0.025,-0.162968847900629
0.026,-0.15191937237978
0.027,-0.140869896858931
0.028,-0.124295683577657
0.029,-0.102196732535958
0.03,-0.0800977814942598
0.031,-0.063523568212986
0.032,-0.0414246171712875
0.033,-0.0138009283691645
0.034,0.00829802267253399
0.035,0.0359217114746571
0.036,0.0580206625163555
0.037,0.080119613558054
0.038,0.107743302360177
0.039,0.129842253401875
0.04,0.146416466683149
0.041,0.157465942203999
0.042,0.174040155485272
0.043,0.179564893245697
0.044,0.185089631006122
0.045,0.196139106526971
0.046,0.201663844287395
0.047,0.196139106526971
0.048,0.196139106526971
0.049,0.185089631006122
0.05,0.185089631006122
0.051,0.185089631006122
0.052,0.168515417724848
0.053,0.162990679964423
0.054,0.157465942203999
0.055,0.146416466683149
0.056,0.1353669911623
0.057,0.129842253401875
0.058,0.118792777881026
0.059,0.107743302360177
0.06,0.0966938268393278
0.061,0.0911690890789032
0.062,0.0856443513184786
0.063,0.080119613558054
0.064,0.0690701380372047
0.065,0.0635454002767801
0.066,0.0580206625163555
0.067,0.0524959247559309
0.068,0.0524959247559309
0.069,0.0469711869955063
0.07,0.0414464492350817
0.071,0.0359217114746571
0.072,0.0359217114746571
0.073,0.0359217114746571
0.074,0.0303969737142324
0.075,0.0359217114746571
0.076,0.0359217114746571
0.077,0.0303969737142324
0.078,0.0359217114746571
0.079,0.0359217114746571
0.08,0.0359217114746571
0.081,0.0359217114746571
0.082,0.0359217114746571
0.083,0.0359217114746571
0.084,0.0414464492350817
0.085,0.0414464492350817
0.086,0.0469711869955063
0.087,0.0524959247559309
0.088,0.0580206625163555
0.089,0.0635454002767801
0.09,0.0745948757976294
0.091,0.0745948757976294
0.092,0.080119613558054
0.093,0.0911690890789032
0.094,0.0966938268393278
0.095,0.102218564599752
0.096,0.113268040120602
0.097,0.124317515641451
0.098,0.129842253401875
0.099,0.140891728922725
0.1,0.146416466683149
0.101,0.157465942203999
0.102,0.162990679964423
0.103,0.174040155485272
0.104,0.179564893245697
0.105,0.185089631006122
0.106,0.190614368766546
0.107,0.196139106526971
0.108,0.190614368766546
0.109,0.196139106526971
0.11,0.185089631006122
0.111,0.185089631006122
0.112,0.174040155485272
0.113,0.162990679964423
0.114,0.151941204443574
0.115,0.140891728922725
0.116,0.118792777881026
0.117,0.0966938268393278
0.118,0.0745948757976294
0.119,0.0580206625163555
0.12,0.0303969737142324
0.121,0.00829802267253399
0.122,-0.0193256661295891
0.123,-0.0469493549317122
0.124,-0.0690483059734106
0.125,-0.0911472570151091
0.126,-0.113246208056808
0.127,-0.129820421338081
0.128,-0.15191937237978
0.129,-0.162968847900629
0.13,-0.174018323421478
0.131,-0.185067798942327
0.132,-0.190592536702752
0.133,-0.201642012223601
0.134,-0.201642012223601
0.135,-0.207166749984026
0.136,-0.201642012223601
0.137,-0.196117274463177
0.138,-0.190592536702752
0.139,-0.190592536702752
0.14,-0.174018323421478
