Temps;V1
0;0,26382452994585
0,002;0,207867079414427
0,004;0,157505373936146
0,006;0,11833515856415
0,008;0,0791649431921542
0,01;0,0623777080327272
0,012;0,039994727820158
0,014;0,0232074926607311
0,016;0,0176117476075888
0,018;0,0120160025544465
0,02;0,0120160025544465
0,022;0,0176117476075888
0,024;0,0232074926607311
0,026;0,0288032377138734
0,028;0,0455904728733003
0,03;0,0623777080327272
0,032;0,0903564332984388
0,034;0,123930903617293
0,036;0,157505373936146
0,038;0,21346282446757
0,04;0,275016020052135
0,042;0,342164960689843
0,044;0,40931390132755
0,046;0,476462841965258
0,048;0,521228802390397
0,05;0,538016037549824
0,052;0,515633057337254
0,054;0,459675606805831
0,056;0,347760705742985
0,058;0,207867079414427
0,06;0,0455904728733003
0,062;-0,122281878720969
0,064;-0,278962740208954
0,066;-0,407664876431227
0,068;-0,491601052228361
0,07;-0,541962757706642
0,072;-0,553154247812927
0,074;-0,525175522547215
0,076;-0,469218072015792
0,078;-0,396473386324942
0,08;-0,31813295558095
0,082;-0,250984014943242
0,084;-0,183835074305534
0,086;-0,133473368827254
0,088;-0,0943031534552574
0,09;-0,0607286831364036
0,092;-0,0383457029238343
0,094;-0,0215584677644074
0,096;-0,0103669776581228
0,098;-0,00477123260498047
0,1;0,00082451244816184
0,102;0,00082451244816184
0,104;0,00642025750130415
0,106;0,00642025750130415
0,108;0,00642025750130415
0,11;0,00642025750130415
0,112;0,00642025750130415
0,114;0,0120160025544465
0,116;0,00642025750130415
0,118;0,00642025750130415
0,12;0,0120160025544465
0,122;0,0120160025544465
0,124;0,0120160025544465
0,126;0,0120160025544465
0,128;0,0120160025544465
0,13;0,0120160025544465
0,132;0,0120160025544465
0,134;0,0120160025544465
0,136;0,00642025750130415
0,138;0,00642025750130415
0,14;0,00642025750130415
0,142;0,00082451244816184
0,144;0,00082451244816184
0,146;-0,00477123260498047
0,148;-0,0103669776581228
0,15;-0,0159627227112651
0,152;-0,0439414479769766
0,154;-0,0663244281895459
0,156;-0,105494643561542
0,158;-0,150260603986681
0,16;-0,211813799571246
0,162;-0,284558485262096
0,164;-0,357303170952946
0,166;-0,441239346750081
0,168;-0,508388287387788
0,17;-0,553154247812927
0,172;-0,564345737919211
0,174;-0,530771267600358
0,176;-0,452430836856365
0,178;-0,334920190740377
0,18;-0,189430819358677
0,182;-0,0271542128175497
0,184;0,135122393723577
0,186;0,269420274998993
0,188;0,381335176061839
0,19;0,459675606805831
0,192;0,493250077124685
0,194;0,498845822177827
0,196;0,470867096912116
0,198;0,426101136486977
0,2;0,35895219584927
0,202;0,291803255211562
0,204;0,241441549733281
0,206;0,191079844255
0,208;0,14071813877672
0,21;0,107143668457866
0,212;0,0791649431921542
0,214;0,0567819629795849
0,216;0,039994727820158
0,218;0,0232074926607311
0,22;0,0176117476075888
0,222;0,00642025750130415
0,224;0,00642025750130415
0,226;0,00082451244816184
0,228;0,00642025750130415
0,23;0,0120160025544465
0,232;0,0232074926607311
0,234;0,0511862179264426
0,236;0,0735691981390119
0,238;0,112739413511008
0,24;0,157505373936146
0,242;0,207867079414427
0,244;0,269420274998993
0,246;0,330973470583558
0,248;0,398122411221266
0,25;0,459675606805831
0,252;0,50444156723097
0,254;0,521228802390397
0,256;0,510037312284112
0,258;0,454079861752689
0,26;0,364547940902412
0,262;0,235845804680139
0,264;0,0959521783515811
0,266;-0,0551329380832613
0,268;-0,183835074305534
0,27;-0,306941465474665
0,272;-0,402069131378084
0,274;-0,452430836856365
0,276;-0,474813817068934
0,278;-0,46362232696265
0,28;-0,424452111590654
0,282;-0,379686151165515
0,284;-0,323728700634092
0,286;-0,267771250102669
0,288;-0,217409544624388
0,29;-0,17264358419925
0,292;-0,133473368827254
0,294;-0,0943031534552574
0,296;-0,0775159182958305
0,298;-0,0551329380832613
0,3;-0,032749957870692
0,302;-0,0215584677644074
0,304;-0,0103669776581228
0,306;-0,0103669776581228
0,308;-0,00477123260498047
0,31;-0,0103669776581228
0,312;-0,0215584677644074
0,314;-0,0215584677644074
0,316;-0,0439414479769766
0,318;-0,0663244281895459
0,32;-0,0887074084021151
0,322;-0,127877623774111
0,324;-0,17264358419925
0,326;-0,223005289677531
0,328;-0,295749975368381
0,33;-0,362898916006088
0,332;-0,441239346750081
0,334;-0,491601052228361
0,336;-0,541962757706642
0,338;-0,553154247812927
0,34;-0,530771267600358
0,342;-0,452430836856365
0,344;-0,346111680846661
0,346;-0,200622309464961
0,348;-0,0495371930301189
0,35;0,112739413511008
0,352;0,26382452994585
0,354;0,381335176061839
0,356;0,465271351858974
0,358;0,515633057337254
0,36;0,526824547443539
0,362;0,498845822177827
0,364;0,448484116699547
0,366;0,392526666168123
0,368;0,325377725530416
0,37;0,269420274998993
0,372;0,207867079414427
0,374;0,163101118989289
0,376;0,123930903617293
0,378;0,0959521783515811
0,38;0,0735691981390119
0,382;0,0511862179264426
0,384;0,0343989827670157
0,386;0,0288032377138734
0,388;0,0176117476075888
0,39;0,0176117476075888
0,392;0,0176117476075888
0,394;0,0176117476075888
0,396;0,0176117476075888
0,398;0,0343989827670157
0,4;0,0511862179264426
0,402;0,0679734530858696
0,404;0,0959521783515811
0,406;0,129526648670435
0,408;0,185484099201858
0,41;0,241441549733281
0,412;0,308590490370989
0,414;0,392526666168123
0,416;0,459675606805831
0,418;0,526824547443539
0,42;0,571590507868677
0,422;0,582781997974962
0,424;0,543611782602966
0,426;0,454079861752689
0,428;0,3365692156367
0,43;0,179888354148716
0,432;0,00642025750130415
0,434;-0,155856349039823
0,436;-0,306941465474665
0,438;-0,424452111590654
0,44;-0,508388287387788
0,442;-0,547558502759784
0,444;-0,541962757706642
0,446;-0,513984032440931
0,448;-0,458026581909508
0,45;-0,396473386324942
0,452;-0,329324445687234
0,454;-0,267771250102669
0,456;-0,211813799571246
0,458;-0,161452094092965
0,46;-0,122281878720969
0,462;-0,0887074084021151
0,464;-0,0607286831364036
0,466;-0,0383457029238343
0,468;-0,0215584677644074
0,47;-0,0159627227112651
0,472;-0,0103669776581228
0,474;-0,0103669776581228
0,476;0,00082451244816184
