Temps;V1
0;0,0232074926607311
0,002;0,0232074926607311
0,004;0,0232074926607311
0,006;0,0343989827670157
0,008;0,0455904728733003
0,01;0,0623777080327272
0,012;0,0735691981390119
0,014;0,107143668457866
0,016;0,135122393723577
0,018;0,174292609095573
0,02;0,224654314573854
0,022;0,26382452994585
0,024;0,308590490370989
0,026;0,342164960689843
0,028;0,35895219584927
0,03;0,347760705742985
0,032;0,308590490370989
0,034;0,230250059626997
0,036;0,14071813877672
0,038;0,0232074926607311
0,04;-0,0887074084021151
0,042;-0,189430819358677
0,044;-0,273366995155811
0,046;-0,323728700634092
0,048;-0,351707425899804
0,05;-0,351707425899804
0,052;-0,329324445687234
0,054;-0,290154230315238
0,056;-0,256579759996384
0,058;-0,206218054518104
0,06;-0,167047839146107
0,062;-0,127877623774111
0,064;-0,0998988985083997
0,066;-0,0775159182958305
0,068;-0,0607286831364036
0,07;-0,0439414479769766
0,072;-0,032749957870692
0,074;-0,0215584677644074
0,076;-0,0159627227112651
0,078;-0,0159627227112651
0,08;-0,00477123260498047
0,082;0,00082451244816184
0,084;0,00082451244816184
0,086;0,00082451244816184
0,088;0,00082451244816184
0,09;0,00082451244816184
0,092;0,00082451244816184
0,094;0,00082451244816184
0,096;-0,00477123260498047
0,098;0,00082451244816184
0,1;0,00082451244816184
0,102;0,00082451244816184
0,104;0,00082451244816184
0,106;0,00082451244816184
0,108;-0,00477123260498047
0,11;-0,00477123260498047
0,112;-0,00477123260498047
0,114;-0,0159627227112651
0,116;-0,0215584677644074
0,118;-0,032749957870692
0,12;-0,0551329380832613
0,122;-0,0775159182958305
0,124;-0,105494643561542
0,126;-0,144664858933538
0,128;-0,195026564411819
0,13;-0,250984014943242
0,132;-0,306941465474665
0,134;-0,357303170952946
0,136;-0,396473386324942
0,138;-0,407664876431227
0,14;-0,3908776412718
0,142;-0,340515935793519
0,144;-0,256579759996384
0,146;-0,150260603986681
0,148;-0,0215584677644074
0,15;0,0903564332984388
0,152;0,202271334361285
0,154;0,280611765105277
0,156;0,330973470583558
0,158;0,353356450796127
0,16;0,342164960689843
0,162;0,319781980477273
0,164;0,280611765105277
0,166;0,235845804680139
0,168;0,191079844255
0,17;0,157505373936146
0,172;0,11833515856415
0,174;0,0903564332984388
0,176;0,0679734530858696
0,178;0,0455904728733003
0,18;0,039994727820158
0,182;0,0232074926607311
0,184;0,0232074926607311
0,186;0,0176117476075888
0,188;0,0232074926607311
0,19;0,0232074926607311
0,192;0,0343989827670157
0,194;0,0455904728733003
0,196;0,0735691981390119
0,198;0,101547923404723
0,2;0,14071813877672
0,202;0,185484099201858
0,204;0,235845804680139
0,206;0,297399000264704
0,208;0,342164960689843
0,21;0,386930921114981
0,212;0,398122411221266
0,214;0,392526666168123
0,216;0,347760705742985
0,218;0,26382452994585
0,22;0,163101118989289
0,222;0,0455904728733003
0,224;-0,0719201732426882
0,226;-0,178239329252392
0,228;-0,267771250102669
0,23;-0,329324445687234
0,232;-0,357303170952946
0,234;-0,362898916006088
0,236;-0,340515935793519
0,238;-0,312537210527807
0,24;-0,262175505049527
0,242;-0,223005289677531
0,244;-0,183835074305534
0,246;-0,150260603986681
0,248;-0,116686133667827
0,25;-0,0887074084021151
0,252;-0,0719201732426882
0,254;-0,0495371930301189
0,256;-0,0439414479769766
0,258;-0,0383457029238343
0,26;-0,032749957870692
0,262;-0,032749957870692
0,264;-0,0383457029238343
0,266;-0,0495371930301189
0,268;-0,0663244281895459
0,27;-0,0887074084021151
0,272;-0,111090388614684
0,274;-0,139069113880396
0,276;-0,178239329252392
0,278;-0,228601034730673
0,28;-0,284558485262096
0,282;-0,334920190740377
0,284;-0,379686151165515
0,286;-0,407664876431227
0,288;-0,402069131378084
0,29;-0,374090406112373
0,292;-0,306941465474665
0,294;-0,211813799571246
0,296;-0,0943031534552574
0,298;0,0232074926607311
0,3;0,135122393723577
0,302;0,230250059626997
0,304;0,297399000264704
0,306;0,3365692156367
0,308;0,347760705742985
0,31;0,3365692156367
0,312;0,314186235424131
0,314;0,269420274998993
0,316;0,230250059626997
0,318;0,196675589308143
0,32;0,157505373936146
0,322;0,123930903617293
0,324;0,0959521783515811
0,326;0,0791649431921542
0,328;0,0623777080327272
0,33;0,0455904728733003
0,332;0,039994727820158
0,334;0,0288032377138734
0,336;0,0288032377138734
0,338;0,0288032377138734
0,34;0,0343989827670157
0,342;0,0455904728733003
0,344;0,0623777080327272
0,346;0,0791649431921542
0,348;0,107143668457866
0,35;0,146313883829862
0,352;0,185484099201858
0,354;0,230250059626997
0,356;0,275016020052135
0,358;0,325377725530416
0,36;0,35895219584927
0,362;0,375739431008697
0,364;0,370143685955554
0,366;0,330973470583558
0,368;0,252633039839566
0,37;0,163101118989289
0,372;0,0455904728733003
0,374;-0,0663244281895459
0,376;-0,17264358419925
0,378;-0,262175505049527
0,38;-0,31813295558095
0,382;-0,357303170952946
0,384;-0,357303170952946
0,386;-0,340515935793519
0,388;-0,312537210527807
0,39;-0,278962740208954
0,392;-0,234196779783815
0,394;-0,195026564411819
0,396;-0,155856349039823
0,398;-0,127877623774111
0,4;-0,105494643561542
0,402;-0,0775159182958305
0,404;-0,0607286831364036
0,406;-0,0495371930301189
0,408;-0,0439414479769766
0,41;-0,032749957870692
0,412;-0,0383457029238343
0,414;-0,0383457029238343
0,416;-0,0439414479769766
0,418;-0,0551329380832613
0,42;-0,0663244281895459
0,422;-0,0887074084021151
0,424;-0,116686133667827
0,426;-0,150260603986681
0,428;-0,195026564411819
0,43;-0,2453882698901
0,432;-0,290154230315238
0,434;-0,334920190740377
0,436;-0,374090406112373
0,438;-0,3908776412718
0,44;-0,374090406112373
0,442;-0,334920190740377
0,444;-0,256579759996384
0,446;-0,155856349039823
0,448;-0,0495371930301189
0,45;0,0735691981390119
0,452;0,174292609095573
0,454;0,258228784892708
0,456;0,314186235424131
0,458;0,342164960689843
0,46;0,347760705742985
0,462;0,330973470583558
0,464;0,297399000264704
0,466;0,258228784892708
0,468;0,21346282446757
0,47;0,174292609095573
0,472;0,14071813877672
0,474;0,107143668457866
0,476;0,0791649431921542
0,478;0,0567819629795849
0,48;0,0455904728733003
0,482;0,0288032377138734
0,484;0,0288032377138734
0,486;0,0232074926607311
0,488;0,0288032377138734
0,49;0,0288032377138734
0,492;0,0343989827670157
0,494;0,0511862179264426
0,496;0,0623777080327272
0,498;0,0903564332984388
0,5;0,112739413511008
0,502;0,151909628883004
0,504;0,191079844255
0,506;0,241441549733281
0,508;0,28620751015842
0,51;0,3365692156367
