Temps;V1
0;0,621952213346958
0,002;0,526824547443539
0,004;0,426101136486977
0,006;0,319781980477273
0,008;0,241441549733281
0,01;0,168696864042431
0,012;0,112739413511008
0,014;0,0735691981390119
0,016;0,039994727820158
0,018;0,0288032377138734
0,02;0,00642025750130415
0,022;0,00082451244816184
0,024;-0,00477123260498047
0,026;0,00082451244816184
0,028;0,00082451244816184
0,03;0,0232074926607311
0,032;0,039994727820158
0,034;0,0735691981390119
0,036;0,11833515856415
0,038;0,179888354148716
0,04;0,269420274998993
0,042;0,381335176061839
0,044;0,515633057337254
0,046;0,64993093861267
0,048;0,761845839675516
0,05;0,817803290206939
0,052;0,789824564941227
0,054;0,661122428718954
0,056;0,454079861752689
0,058;0,179888354148716
0,06;-0,111090388614684
0,062;-0,385281896218657
0,064;-0,603515953291208
0,066;-0,743409579619765
0,068;-0,799367030151188
0,07;-0,765792559832335
0,072;-0,687452129088342
0,074;-0,575537228025496
0,076;-0,458026581909508
0,078;-0,346111680846661
0,08;-0,256579759996384
0,082;-0,178239329252392
0,084;-0,122281878720969
0,086;-0,0831116633489728
0,088;-0,0495371930301189
0,09;-0,032749957870692
0,092;-0,0103669776581228
0,094;-0,0103669776581228
0,096;0,00082451244816184
0,098;-0,00477123260498047
0,1;-0,0159627227112651
0,102;-0,032749957870692
0,104;-0,0495371930301189
0,106;-0,0831116633489728
0,108;-0,127877623774111
0,11;-0,189430819358677
0,112;-0,273366995155811
0,114;-0,379686151165515
0,116;-0,508388287387788
0,118;-0,625898933503777
0,12;-0,737813834566623
0,122;-0,793771285098046
0,124;-0,776984049938619
0,126;-0,670664893928915
0,128;-0,486005307175219
0,13;-0,234196779783815
0,132;0,0455904728733003
0,134;0,314186235424131
0,136;0,532420292496681
0,138;0,683505408931524
0,14;0,756250094622374
0,142;0,739462859462947
0,144;0,677909663878381
0,146;0,565994762815535
0,148;0,448484116699547
0,15;0,3365692156367
0,152;0,241441549733281
0,154;0,163101118989289
0,156;0,101547923404723
0,158;0,0567819629795849
0,16;0,0288032377138734
0,162;0,00082451244816184
0,164;-0,00477123260498047
0,166;-0,0103669776581228
0,168;-0,00477123260498047
0,17;-0,00477123260498047
0,172;0,00642025750130415
0,174;0,0232074926607311
0,176;0,039994727820158
0,178;0,0735691981390119
0,18;0,11833515856415
0,182;0,179888354148716
0,184;0,252633039839566
0,186;0,353356450796127
0,188;0,465271351858974
0,19;0,57718625292182
0,192;0,672313918825239
0,194;0,717079879250377
0,196;0,694696899037808
0,198;0,582781997974962
0,2;0,403718156274408
0,202;0,174292609095573
0,204;-0,0831116633489728
0,206;-0,329324445687234
0,208;-0,525175522547215
0,21;-0,670664893928915
0,212;-0,732218089513481
0,214;-0,726622344460338
0,216;-0,659473403822631
0,218;-0,558749992866069
0,22;-0,446835091803223
0,222;-0,334920190740377
0,224;-0,239792524836957
0,226;-0,161452094092965
0,228;-0,105494643561542
0,23;-0,0607286831364036
0,232;-0,032749957870692
0,234;-0,0159627227112651
0,236;-0,0103669776581228
0,238;-0,00477123260498047
0,24;-0,00477123260498047
0,242;0,00082451244816184
0,244;0,00082451244816184
0,246;0,00082451244816184
0,248;0,00082451244816184
0,25;0,00082451244816184
0,252;0,00642025750130415
0,254;0,00082451244816184
0,256;0,00642025750130415
0,258;0,00082451244816184
0,26;0,00642025750130415
0,262;-0,00477123260498047
0,264;0,00082451244816184
0,266;0,00082451244816184
0,268;0,00082451244816184
0,27;0,00082451244816184
0,272;0,00082451244816184
0,274;0,00082451244816184
0,276;-0,00477123260498047
0,278;-0,0103669776581228
0,28;-0,0103669776581228
0,282;-0,0159627227112651
0,284;-0,0439414479769766
0,286;-0,0719201732426882
0,288;-0,127877623774111
0,29;-0,200622309464961
0,292;-0,306941465474665
0,294;-0,407664876431227
0,296;-0,5363670126535
0,298;-0,648281913716346
0,3;-0,732218089513481
0,302;-0,743409579619765
0,304;-0,687452129088342
0,306;-0,547558502759784
0,308;-0,357303170952946
0,31;-0,116686133667827
0,312;0,123930903617293
0,314;0,342164960689843
0,316;0,50444156723097
0,318;0,605164978187531
0,32;0,644335193559527
0,322;0,616356468293816
0,324;0,549207527656108
0,326;0,459675606805831
0,328;0,364547940902412
0,33;0,280611765105277
0,332;0,202271334361285
0,334;0,14071813877672
0,336;0,0959521783515811
0,338;0,0567819629795849
0,34;0,0343989827670157
0,342;0,0120160025544465
0,344;0,00082451244816184
0,346;-0,0159627227112651
0,348;-0,0215584677644074
0,35;-0,0215584677644074
0,352;-0,0215584677644074
0,354;-0,00477123260498047
0,356;0,0176117476075888
0,358;0,0567819629795849
0,36;0,0959521783515811
0,362;0,174292609095573
0,364;0,252633039839566
0,366;0,35895219584927
0,368;0,4820585870184
0,37;0,599569233134389
0,372;0,70029264409095
0,374;0,756250094622374
0,376;0,745058604516089
0,378;0,64993093861267
0,38;0,487654332071543
0,382;0,258228784892708
0,384;0,00082451244816184
0,386;-0,256579759996384
0,388;-0,469218072015792
0,39;-0,625898933503777
0,392;-0,704239364247769
0,394;-0,709835109300911
0,396;-0,659473403822631
0,398;-0,564345737919211
0,4;-0,469218072015792
0,402;-0,362898916006088
0,404;-0,273366995155811
0,406;-0,200622309464961
0,408;-0,144664858933538
0,41;-0,0998988985083997
0,412;-0,0719201732426882
0,414;-0,0495371930301189
0,416;-0,0271542128175497
0,418;-0,0159627227112651
0,42;-0,0159627227112651
0,422;-0,0103669776581228
0,424;-0,0159627227112651
0,426;-0,0271542128175497
0,428;-0,0495371930301189
0,43;-0,0719201732426882
0,432;-0,111090388614684
0,434;-0,161452094092965
0,436;-0,228601034730673
0,438;-0,31813295558095
0,44;-0,435643601696938
0,442;-0,558749992866069
0,444;-0,670664893928915
0,446;-0,760196814779192
0,448;-0,788175540044904
0,45;-0,743409579619765
0,452;-0,614707443397492
0,454;-0,413260621484369
0,456;-0,155856349039823
0,458;0,112739413511008
0,46;0,35895219584927
0,462;0,55480327270925
0,464;0,672313918825239
0,466;0,728271369356662
0,468;0,70029264409095
0,47;0,633143703453243
0,472;0,526824547443539
0,474;0,420505391433835
0,476;0,314186235424131
0,478;0,230250059626997
0,48;0,157505373936146
0,482;0,112739413511008
0,484;0,0679734530858696
0,486;0,0455904728733003
0,488;0,0232074926607311
0,49;0,00642025750130415
0,492;0,00082451244816184
0,494;-0,00477123260498047
0,496;-0,00477123260498047
0,498;0,00082451244816184
0,5;0,0120160025544465
0,502;0,0288032377138734
0,504;0,0567819629795849
0,506;0,0959521783515811
0,508;0,157505373936146
0,51;0,230250059626997
0,512;0,325377725530416
0,514;0,448484116699547
0,516;0,57718625292182
0,518;0,694696899037808
0,52;0,767441584728658
0,522;0,767441584728658
0,524;0,694696899037808
0,526;0,532420292496681
0,528;0,297399000264704
0,53;0,0343989827670157
0,532;-0,234196779783815
0,534;-0,46362232696265
0,536;-0,631494678556919
0,538;-0,726622344460338
0,54;-0,749005324672908
0,542;-0,704239364247769
0,544;-0,620303188450634
0,546;-0,513984032440931
0,548;-0,402069131378084
0,55;-0,312537210527807
0,552;-0,228601034730673
0,554;-0,161452094092965
0,556;-0,116686133667827
0,558;-0,0775159182958305
0,56;-0,0495371930301189
0,562;-0,032749957870692
0,564;-0,0159627227112651
0,566;-0,0103669776581228
0,568;-0,0103669776581228
0,57;-0,0103669776581228
0,572;-0,0159627227112651
0,574;-0,032749957870692
0,576;-0,0551329380832613
0,578;-0,0831116633489728
0,58;-0,122281878720969
0,582;-0,178239329252392
0,584;-0,2453882698901
0,586;-0,340515935793519
0,588;-0,441239346750081
0,59;-0,553154247812927
0,592;-0,642686168663204
0,594;-0,704239364247769
0,596;-0,698643619194627
0,598;-0,631494678556919
0,6;-0,491601052228361
0,602;-0,295749975368381
0,604;-0,0663244281895459
0,606;0,168696864042431
0,608;0,381335176061839
0,61;0,543611782602966
0,612;0,638739448506385
0,614;0,666718173772097
0,616;0,638739448506385
0,618;0,571590507868677
0,62;0,476462841965258
0,622;0,381335176061839
0,624;0,28620751015842
0,626;0,207867079414427
0,628;0,14071813877672
0,63;0,0903564332984388
0,632;0,0511862179264426
0,634;0,0232074926607311
0,636;0,00642025750130415
0,638;-0,00477123260498047
0,64;-0,00477123260498047
0,642;-0,00477123260498047
0,644;0,00082451244816184
0,646;0,0120160025544465
0,648;0,0288032377138734
0,65;0,0455904728733003
0,652;0,0791649431921542
0,654;0,112739413511008
0,656;0,179888354148716
0,658;0,241441549733281
0,66;0,342164960689843
0,662;0,442888371646404
0,664;0,549207527656108
0,666;0,644335193559527
0,668;0,70029264409095
0,67;0,694696899037808
0,672;0,610760723240674
0,674;0,459675606805831
0,676;0,247037294786423
0,678;0,00082451244816184
0,68;-0,239792524836957
0,682;-0,458026581909508
0,684;-0,620303188450634
0,686;-0,709835109300911
0,688;-0,732218089513481
0,69;-0,693047874141484
0,692;-0,60911169834435
0,694;-0,502792542334646
